id,Gender,Age , MONTHLY INCOME IN GHANA CEDIS,How long have you been a customer to VIP?,Tangibility [VIP transport facilities are in good shape and are kept clean],Tangibility [The buses used to provide transportation service are safe and in good condition],Reliability [Service promised by VIP transport is delivered as such],Reliability [VIP transport compounds are equipped to keep customers safe],Responsiveness  [The staff at VIP provide punctual service without delay],Responsiveness  [The staff are helpful and willing to help guide you],Assurance [The staff at VIP transport are able to inspire trust],"Assurance [The staff are friendly, courteous and polite]",Assurance [They have good communication skills and a positive approach to enquiring customers and waiting customers as well],Empathy [The staff show sincere interest in solving customer problems],Empathy [The staff makes customers feel welcomed],Empathy [The staff display patience in dealing with customers],"CUSTOMER SATISFACTION [Considering everything, I am satisfied with VIP transport]",CUSTOMER SATISFACTION [I am satisfied with staff attitude and behavior],CUSTOMER SATISFACTION [My experience with VIP transport has been enjoyable],CUSTOMER SATISFACTION [VIP transport always meets my expectations],CUSTOMER LOYALTY [I intend to continue using VIP transport as my transport provider],CUSTOMER LOYALTY [I will encourage friends and family to use the services of the company],CUSTOMER LOYALTY [I will prioritize this company when selecting a transportation company of the same category],CUSTOMER LOYALTY [I believe VIP transport deserves my loyalty],CUSTOMER LOYALTY [Over the past years my loyalty to VIP has grown stronger],,
1,Male,<30,≥1000,8-11 years,4,3,4,4,4,5,3,3,3,4,4,3,3,3,4,4,3,4,3,3,3,3,4
2,Male,<30,≥1000,< 4years,3,3,2,3,4,4,3,2,2,2,3,2,3,2,3,2,3,3,3,3,2,2,3
3,Female,<30,<200,4-7 years,3,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,1,1,2,2,3,2,2
4,Male,<30,<200,< 4years,3,3,3,3,3,3,5,5,4,2,2,2,2,3,2,3,2,3,3,2,3,3,3
5,Female,<30,800-999,< 4years,2,1,1,2,1,2,1,2,2,5,4,4,2,3,3,2,2,2,2,2,1,1,1
6,Male,30-35,≥1000,< 4years,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,3,3,4,4
7,Female,<30,600-799,< 4years,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,Male,<30,400-599,< 4years,3,3,3,4,2,4,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3,4,3
9,Female,<30,600-799,< 4years,3,3,3,3,3,3,4,2,3,3,1,2,2,3,3,4,3,3,4,4,3,3,3
10,Male,<30,<200,< 4years,5,4,2,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,2
11,Male,<30,≥1000,4-7 years,5,4,4,3,4,5,4,3,3,4,3,4,4,3,3,4,3,3,3,4,3,4,3
12,Male,<30,≥1000,4-7 years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,Female,<30,<200,4-7 years,3,4,4,3,3,4,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,4
14,Female,<30,600-799,< 4years,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,Male,<30,200-399,< 4years,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,Female,<30,600-799,< 4years,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,Male,<30,600-799,< 4years,1,1,2,2,1,1,3,2,1,1,1,1,3,3,3,3,3,4,2,4,5,2,2
18,Female,<30,<200,4-7 years,3,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,1,1,2,2,3,2,2
19,Male,<30,≥1000,< 4years,1,3,1,2,1,2,2,1,2,2,2,2,1,2,2,3,1,2,3,1,2,3,1
20,Male,<30,≥1000,< 4years,1,3,1,2,1,2,2,1,2,2,2,2,1,2,2,3,1,2,3,1,2,3,1
21,Female,36-40,800-999,4-7 years,1,3,2,1,4,3,3,3,2,3,2,3,1,2,3,1,2,3,4,3,2,2,2
22,Male,30-35,400-599,< 4years,1,2,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,3,4,3
23,Female,36-40,≥1000,4-7 years,1,2,3,2,1,2,3,4,3,2,1,2,3,4,3,2,4,3,2,1,2,4,3
24,Female,46+,≥1000,8-11 years,1,2,4,3,2,1,1,2,3,4,3,2,1,2,3,4,2,2,2,1,1,4,3
25,Female,36-40,600-799,< 4years,3,1,3,4,4,5,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3
26,Male,<30,≥1000,< 4years,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27,Male,<30,≥1000,< 4years,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,Male,<30,≥1000,4-7 years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
29,Male,30-35,≥1000,< 4years,4,4,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
30,Female,<30,400-599,< 4years,2,1,2,2,2,2,2,3,2,2,3,3,3,2,3,3,2,1,2,2,2,2,2
31,Male,<30,800-999,4-7 years,4,3,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
32,Male,<30,400-599,< 4years,4,3,2,3,4,2,1,4,5,3,3,3,2,3,3,2,4,5,4,3,3,2,3
33,Female,36-40,800-999,12-15 years,3,3,2,2,3,2,2,3,4,1,3,2,3,3,2,2,4,3,3,2,2,3,3
34,Female,<30,200-399,16-20 years,2,1,1,2,4,4,4,3,3,3,3,3,2,4,4,3,2,3,3,2,3,3,3
35,Male,36-40,600-799,4-7 years,3,3,3,3,4,3,4,3,3,2,5,1,4,4,2,2,1,2,3,3,3,3,2
36,Male,46+,≥1000,8-11 years,2,2,3,3,3,3,3,3,4,2,3,2,3,3,4,3,3,3,4,4,3,4,4
37,Male,41-45,600-799,< 4years,3,3,3,4,3,2,2,3,3,2,3,2,2,3,4,4,3,3,4,4,4,3,2
38,Female,41-45,800-999,4-7 years,4,3,2,3,3,4,3,3,4,3,2,2,2,3,3,3,3,3,4,4,4,3,3
39,Male,30-35,800-999,< 4years,3,3,3,4,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,4,4,3,2
40,Male,41-45,≥1000,8-11 years,4,4,3,3,2,2,2,2,3,3,2,3,4,4,3,3,4,3,3,4,4,3,2
41,Male,<30,≥1000,4-7 years,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,2,3
42,Male,46+,≥1000,12-15 years,4,4,4,4,4,2,4,4,3,3,3,3,,,,,4,4,4,3,3,3,4
43,Female,36-40,≥1000,4-7 years,1,2,2,2,2,1,1,1,1,2,3,2,2,1,1,2,3,2,2,2,1,2,2
44,Male,<30,800-999,4-7 years,3,3,3,2,3,3,3,2,1,3,2,3,3,3,3,3,3,3,3,3,3,2,2
45,Female,46+,≥1000,8-11 years,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,Female,46+,≥1000,> 20 years,3,4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
47,Female,41-45,≥1000,4-7 years,3,3,3,3,2,2,3,3,3,4,3,3,3,4,3,3,4,4,4,4,4,3,3
48,Female,36-40,≥1000,4-7 years,2,3,4,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4
49,Female,30-35,≥1000,4-7 years,2,3,4,2,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4
50,Male,46+,≥1000,< 4years,1,3,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3
51,Female,<30,200-399,< 4years,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
52,Male,<30,<200,4-7 years,3,3,4,3,4,4,3,2,2,3,3,3,3,2,3,3,3,4,3,3,4,4,4
53,Female,<30,800-999,4-7 years,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,5,5,4,3
54,Female,<30,800-999,4-7 years,4,5,4,5,4,4,4,3,4,5,5,4,5,4,5,4,5,5,5,5,4,5,4
55,Male,<30,≥1000,< 4years,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,Female,<30,600-799,< 4years,5,5,5,5,3,4,4,3,4,5,5,5,4,4,4,4,4,5,4,5,4,4,4
57,Female,<30,400-599,< 4years,4,4,4,3,4,5,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4
58,Male,<30,600-799,< 4years,3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,4,3,4,3,3,3,3
59,Female,<30,800-999,4-7 years,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,5,5,4,3
60,Female,<30,800-999,4-7 years,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,5,5,4,3
61,Male,<30,≥1000,< 4years,3,3,2,3,4,2,2,2,3,3,2,2,3,3,3,3,2,3,2,2,3,3,4
62,Female,<30,<200,< 4years,3,3,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,4,1,1,2,3
63,Female,<30,≥1000,8-11 years,3,3,4,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3
64,Female,<30,≥1000,< 4years,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
65,Male,<30,<200,12-15 years,4,4,3,3,3,2,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3
66,Female,<30,≥1000,< 4years,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1
67,Female,<30,<200,< 4years,4,4,3,3,4,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3
68,Female,<30,≥1000,< 4years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3
69,Male,<30,≥1000,4-7 years,2,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3
70,Male,<30,≥1000,8-11 years,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
71,Female,<30,600-799,< 4years,2,2,2,2,2,2,3,3,3,4,4,4,2,2,3,3,3,3,3,3,3,2,2
72,Male,<30,200-399,< 4years,4,4,4,2,3,3,3,3,4,3,3,4,4,4,4,3,3,3,4,3,3,2,4
73,Male,<30,≥1000,4-7 years,3,2,4,1,2,4,3,4,4,3,5,5,4,4,4,3,3,4,2,2,3,1,4
74,Female,<30,800-999,< 4years,5,4,5,5,4,4,4,4,4,4,4,5,5,5,5,3,5,5,4,5,5,5,5
75,Male,<30,≥1000,8-11 years,2,3,3,3,2,2,3,3,2,3,3,2,2,2,3,2,3,3,2,2,3,3,3
76,Female,<30,≥1000,< 4years,4,4,5,4,3,3,3,3,2,3,3,4,3,2,3,3,3,4,3,4,4,4,5
77,Male,36-40,600-799,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
78,Female,<30,<200,< 4years,1,1,1,4,2,3,1,2,3,1,3,3,1,2,2,1,2,3,2,2,2,3,2
79,Female,<30,200-399,< 4years,2,2,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,2,2,3,3,3,2
80,Male,30-35,600-799,< 4years,3,3,3,3,4,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3
81,Female,<30,<200,< 4years,3,2,3,3,3,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,3,2
82,Male,<30,400-599,8-11 years,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
83,Female,<30,600-799,< 4years,4,4,3,4,5,4,4,5,5,3,4,4,5,4,5,5,5,5,5,4,4,4,3
84,Female,<30,≥1000,4-7 years,4,4,3,3,3,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,2
85,Female,<30,400-599,< 4years,2,2,4,2,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3
86,Male,<30,<200,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87,Female,<30,≥1000,8-11 years,4,4,4,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,2,4
88,Male,<30,≥1000,< 4years,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2
89,Female,<30,<200,< 4years,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
90,Female,<30,800-999,< 4years,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4
91,Female,<30,≥1000,< 4years,3,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3
92,Female,36-40,≥1000,< 4years,3,2,2,2,4,2,2,3,4,4,3,4,4,3,3,3,2,3,3,2,2,2,2
93,Female,<30,≥1000,< 4years,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2
94,Male,<30,≥1000,8-11 years,3,3,3,1,2,2,2,2,2,3,2,2,3,1,3,3,3,3,3,3,4,1,3
95,Male,<30,<200,< 4years,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,Male,<30,800-999,4-7 years,5,4,4,4,3,4,4,4,3,4,3,4,4,4,5,5,5,5,5,5,5,4,4
97,Male,<30,800-999,4-7 years,4,4,5,5,4,5,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4
98,Female,30-35,400-599,< 4years,3,4,3,3,4,4,2,2,2,3,3,3,3,3,4,3,3,2,2,2,3,3,3
99,Female,<30,400-599,< 4years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4
100,Female,<30,600-799,< 4years,2,2,2,3,3,3,2,2,2,4,3,3,3,2,3,3,4,4,3,3,3,3,1
101,Female,<30,≥1000,< 4years,3,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3
102,Female,<30,<200,< 4years,3,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2
103,Female,<30,≥1000,8-11 years,4,4,4,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,2,4
104,Male,<30,<200,< 4years,2,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,2,2,2,3
105,Female,<30,<200,< 4years,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
106,Female,<30,200-399,< 4years,2,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2
107,Male,<30,600-799,4-7 years,5,5,4,5,3,4,4,5,5,5,4,4,5,4,5,5,5,5,5,4,4,3,3
108,Male,<30,600-799,4-7 years,5,5,4,5,3,4,4,5,5,5,4,4,5,4,5,5,5,5,5,4,4,3,3
109,Female,<30,400-599,< 4years,3,3,2,3,3,4,1,3,4,1,3,1,1,3,3,3,1,3,2,4,3,1,2
110,Male,<30,200-399,< 4years,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2
111,Female,<30,≥1000,16-20 years,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,Female,<30,400-599,< 4years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4
113,Female,<30,≥1000,8-11 years,4,4,4,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,2,4
114,Female,<30,400-599,< 4years,4,4,4,3,4,5,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4
115,Female,<30,≥1000,< 4years,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1
116,Male,<30,600-799,< 4years,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,3,3,,
117,Female,<30,600-799,< 4years,3,3,3,3,4,4,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,,
118,Male,<30,≥1000,< 4years,3,3,2,3,4,2,2,2,3,3,2,2,3,3,3,3,2,3,2,2,3,,
119,Male,36-40,600-799,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
120,Female,<30,600-799,< 4years,5,5,5,5,3,4,4,3,4,5,5,5,4,4,4,4,4,5,4,5,4,,
121,Female,<30,800-999,< 4years,3,3,4,4,3,3,3,4,2,2,3,3,2,3,4,3,3,3,3,2,2,,
122,Male,36-40,600-799,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,