id,Gender,Age_,_MONTHLY_INCOME_IN_GHANA_CEDIS,How_long_have_you_been_a_customer_to_VIP?,Tangibility_[VIP_transport_facilities_are_in_good_shape_and_are_kept_clean],Tangibility_[The_buses_used_to_provide_transportation_service_are_safe_and_in_good_condition],Reliability_[Service_promised_by_VIP_transport_is_delivered_as_such],Reliability_[VIP_transport_compounds_are_equipped_to_keep_customers_safe],Responsiveness__[The_staff_at_VIP_provide_punctual_service_without_delay],Responsiveness__[The_staff_are_helpful_and_willing_to_help_guide_you],Assurance_[The_staff_at_VIP_transport_are_able_to_inspire_trust],"Assurance_[The_staff_are_friendly,_courteous_and_polite]",Assurance_[They_have_good_communication_skills_and_a_positive_approach_to_enquiring_customers_and_waiting_customers_as_well],Empathy_[The_staff_show_sincere_interest_in_solving_customer_problems],Empathy_[The_staff_makes_customers_feel_welcomed],Empathy_[The_staff_display_patience_in_dealing_with_customers],"CUSTOMER_SATISFACTION_[Considering_everything,_I_am_satisfied_with_VIP_transport]",CUSTOMER_SATISFACTION_[I_am_satisfied_with_staff_attitude_and_behavior],CUSTOMER_SATISFACTION_[My_experience_with_VIP_transport_has_been_enjoyable],CUSTOMER_SATISFACTION_[VIP_transport_always_meets_my_expectations],CUSTOMER_LOYALTY_[I_intend_to_continue_using_VIP_transport_as_my_transport_provider],CUSTOMER_LOYALTY_[I_will_encourage_friends_and_family_to_use_the_services_of_the_company],CUSTOMER_LOYALTY_[I_will_prioritize_this_company_when_selecting_a_transportation_company_of_the_same_category],CUSTOMER_LOYALTY_[I_believe_VIP_transport_deserves_my_loyalty],CUSTOMER_LOYALTY_[Over_the_past_years_my_loyalty_to_VIP_has_grown_stronger]
1,Male,<30,≥1000,8-11 years,4,3,4,4,4,5,3,3,3,4,4,3,3,3,4,4,3,4,3,3,3
2,Male,<30,≥1000,< 4years,3,3,2,3,4,4,3,2,2,2,3,2,3,2,3,2,3,3,3,3,2
3,Female,<30,<200,4-7 years,3,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,1,1,2,2,3
4,Male,<30,<200,< 4years,3,3,3,3,3,3,5,5,4,2,2,2,2,3,2,3,2,3,3,2,3
5,Female,<30,800-999,< 4years,2,1,1,2,1,2,1,2,2,5,4,4,2,3,3,2,2,2,2,2,1
6,Male,30-35,≥1000,< 4years,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,3,3
7,Female,<30,600-799,< 4years,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,Male,<30,400-599,< 4years,3,3,3,4,2,4,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3
9,Female,<30,600-799,< 4years,3,3,3,3,3,3,4,2,3,3,1,2,2,3,3,4,3,3,4,4,3
10,Male,<30,<200,< 4years,5,4,2,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4
11,Male,<30,≥1000,4-7 years,5,4,4,3,4,5,4,3,3,4,3,4,4,3,3,4,3,3,3,4,3
12,Male,<30,≥1000,4-7 years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,Female,<30,<200,4-7 years,3,4,4,3,3,4,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2
14,Female,<30,600-799,< 4years,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,Male,<30,200-399,< 4years,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,Female,<30,600-799,< 4years,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,Male,<30,600-799,< 4years,1,1,2,2,1,1,3,2,1,1,1,1,3,3,3,3,3,4,2,4,5
18,Female,<30,<200,4-7 years,3,2,2,2,3,3,3,1,1,1,1,1,2,2,2,2,1,1,2,2,3
19,Male,<30,≥1000,< 4years,1,3,1,2,1,2,2,1,2,2,2,2,1,2,2,3,1,2,3,1,2
20,Male,<30,≥1000,< 4years,1,3,1,2,1,2,2,1,2,2,2,2,1,2,2,3,1,2,3,1,2
21,Female,36-40,800-999,4-7 years,1,3,2,1,4,3,3,3,2,3,2,3,1,2,3,1,2,3,4,3,2
22,Male,30-35,400-599,< 4years,1,2,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,3
23,Female,36-40,≥1000,4-7 years,1,2,3,2,1,2,3,4,3,2,1,2,3,4,3,2,4,3,2,1,2
24,Female,46+,≥1000,8-11 years,1,2,4,3,2,1,1,2,3,4,3,2,1,2,3,4,2,2,2,1,1
25,Female,36-40,600-799,< 4years,3,1,3,4,4,5,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4
26,Male,<30,≥1000,< 4years,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27,Male,<30,≥1000,< 4years,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,Male,<30,≥1000,4-7 years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
29,Male,30-35,≥1000,< 4years,4,4,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3
30,Female,<30,400-599,< 4years,2,1,2,2,2,2,2,3,2,2,3,3,3,2,3,3,2,1,2,2,2
31,Male,<30,800-999,4-7 years,4,3,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4
32,Male,<30,400-599,< 4years,4,3,2,3,4,2,1,4,5,3,3,3,2,3,3,2,4,5,4,3,3
33,Female,36-40,800-999,12-15 years,3,3,2,2,3,2,2,3,4,1,3,2,3,3,2,2,4,3,3,2,2
34,Female,<30,200-399,16-20 years,2,1,1,2,4,4,4,3,3,3,3,3,2,4,4,3,2,3,3,2,3
35,Male,36-40,600-799,4-7 years,3,3,3,3,4,3,4,3,3,2,5,1,4,4,2,2,1,2,3,3,3
36,Male,46+,≥1000,8-11 years,2,2,3,3,3,3,3,3,4,2,3,2,3,3,4,3,3,3,4,4,3
37,Male,41-45,600-799,< 4years,3,3,3,4,3,2,2,3,3,2,3,2,2,3,4,4,3,3,4,4,4
38,Female,41-45,800-999,4-7 years,4,3,2,3,3,4,3,3,4,3,2,2,2,3,3,3,3,3,4,4,4
39,Male,30-35,800-999,< 4years,3,3,3,4,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,4,4
40,Male,41-45,≥1000,8-11 years,4,4,3,3,2,2,2,2,3,3,2,3,4,4,3,3,4,3,3,4,4
41,Male,<30,≥1000,4-7 years,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3
42,Male,46+,≥1000,12-15 years,4,4,4,4,4,2,4,4,3,3,3,3,,,,,4,4,4,3,3
43,Female,36-40,≥1000,4-7 years,1,2,2,2,2,1,1,1,1,2,3,2,2,1,1,2,3,2,2,2,1
44,Male,<30,800-999,4-7 years,3,3,3,2,3,3,3,2,1,3,2,3,3,3,3,3,3,3,3,3,3
45,Female,46+,≥1000,8-11 years,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,Female,46+,≥1000,> 20 years,3,4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4
47,Female,41-45,≥1000,4-7 years,3,3,3,3,2,2,3,3,3,4,3,3,3,4,3,3,4,4,4,4,4
48,Female,36-40,≥1000,4-7 years,2,3,4,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
49,Female,30-35,≥1000,4-7 years,2,3,4,2,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4
50,Male,46+,≥1000,< 4years,1,3,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
51,Female,<30,200-399,< 4years,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
52,Male,<30,<200,4-7 years,3,3,4,3,4,4,3,2,2,3,3,3,3,2,3,3,3,4,3,3,4
53,Female,<30,800-999,4-7 years,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,5,5
54,Female,<30,800-999,4-7 years,4,5,4,5,4,4,4,3,4,5,5,4,5,4,5,4,5,5,5,5,4
55,Male,<30,≥1000,< 4years,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,Female,<30,600-799,< 4years,5,5,5,5,3,4,4,3,4,5,5,5,4,4,4,4,4,5,4,5,4
57,Female,<30,400-599,< 4years,4,4,4,3,4,5,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4
58,Male,<30,600-799,< 4years,3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,4,3,4,3,3
59,Female,<30,800-999,4-7 years,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,5,5
60,Female,<30,800-999,4-7 years,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,5,5
61,Male,<30,≥1000,< 4years,3,3,2,3,4,2,2,2,3,3,2,2,3,3,3,3,2,3,2,2,3
62,Female,<30,<200,< 4years,3,3,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,4,1,1
63,Female,<30,≥1000,8-11 years,3,3,4,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
64,Female,<30,≥1000,< 4years,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
65,Male,<30,<200,12-15 years,4,4,3,3,3,2,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4
66,Female,<30,≥1000,< 4years,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1
67,Female,<30,<200,< 4years,4,4,3,3,4,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5
68,Female,<30,≥1000,< 4years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3
69,Male,<30,≥1000,4-7 years,2,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3
70,Male,<30,≥1000,8-11 years,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
71,Female,<30,600-799,< 4years,2,2,2,2,2,2,3,3,3,4,4,4,2,2,3,3,3,3,3,3,3
72,Male,<30,200-399,< 4years,4,4,4,2,3,3,3,3,4,3,3,4,4,4,4,3,3,3,4,3,3
73,Male,<30,≥1000,4-7 years,3,2,4,1,2,4,3,4,4,3,5,5,4,4,4,3,3,4,2,2,3
74,Female,<30,800-999,< 4years,5,4,5,5,4,4,4,4,4,4,4,5,5,5,5,3,5,5,4,5,5
75,Male,<30,≥1000,8-11 years,2,3,3,3,2,2,3,3,2,3,3,2,2,2,3,2,3,3,2,2,3
76,Female,<30,≥1000,< 4years,4,4,5,4,3,3,3,3,2,3,3,4,3,2,3,3,3,4,3,4,4
77,Male,36-40,600-799,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
78,Female,<30,<200,< 4years,1,1,1,4,2,3,1,2,3,1,3,3,1,2,2,1,2,3,2,2,2
79,Female,<30,200-399,< 4years,2,2,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,2,2,3,3
80,Male,30-35,600-799,< 4years,3,3,3,3,4,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
81,Female,<30,<200,< 4years,3,2,3,3,3,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2
82,Male,<30,400-599,8-11 years,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
83,Female,<30,600-799,< 4years,4,4,3,4,5,4,4,5,5,3,4,4,5,4,5,5,5,5,5,4,4
84,Female,<30,≥1000,4-7 years,4,4,3,3,3,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
85,Female,<30,400-599,< 4years,2,2,4,2,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3
86,Male,<30,<200,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87,Female,<30,≥1000,8-11 years,4,4,4,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
88,Male,<30,≥1000,< 4years,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1
89,Female,<30,<200,< 4years,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
90,Female,<30,800-999,< 4years,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
91,Female,<30,≥1000,< 4years,3,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,3,2,3
92,Female,36-40,≥1000,< 4years,3,2,2,2,4,2,2,3,4,4,3,4,4,3,3,3,2,3,3,2,2
93,Female,<30,≥1000,< 4years,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
94,Male,<30,≥1000,8-11 years,3,3,3,1,2,2,2,2,2,3,2,2,3,1,3,3,3,3,3,3,4
95,Male,<30,<200,< 4years,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,Male,<30,800-999,4-7 years,5,4,4,4,3,4,4,4,3,4,3,4,4,4,5,5,5,5,5,5,5
97,Male,<30,800-999,4-7 years,4,4,5,5,4,5,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4
98,Female,30-35,400-599,< 4years,3,4,3,3,4,4,2,2,2,3,3,3,3,3,4,3,3,2,2,2,3
99,Female,<30,400-599,< 4years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4
100,Female,<30,600-799,< 4years,2,2,2,3,3,3,2,2,2,4,3,3,3,2,3,3,4,4,3,3,3
101,Female,<30,≥1000,< 4years,3,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,3,2,3
102,Female,<30,<200,< 4years,3,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1
103,Female,<30,≥1000,8-11 years,4,4,4,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
104,Male,<30,<200,< 4years,2,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,2,2
105,Female,<30,<200,< 4years,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
106,Female,<30,200-399,< 4years,2,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1
107,Male,<30,600-799,4-7 years,5,5,4,5,3,4,4,5,5,5,4,4,5,4,5,5,5,5,5,4,4
108,Male,<30,600-799,4-7 years,5,5,4,5,3,4,4,5,5,5,4,4,5,4,5,5,5,5,5,4,4
109,Female,<30,400-599,< 4years,3,3,2,3,3,4,1,3,4,1,3,1,1,3,3,3,1,3,2,4,3
110,Male,<30,200-399,< 4years,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2
111,Female,<30,≥1000,16-20 years,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,Female,<30,400-599,< 4years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4
113,Female,<30,≥1000,8-11 years,4,4,4,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
114,Female,<30,400-599,< 4years,4,4,4,3,4,5,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4
115,Female,<30,≥1000,< 4years,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3
116,Male,<30,600-799,< 4years,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,3,3
117,Female,<30,600-799,< 4years,3,3,3,3,4,4,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4
118,Male,<30,≥1000,< 4years,3,3,2,3,4,2,2,2,3,3,2,2,3,3,3,3,2,3,2,2,3
119,Male,36-40,600-799,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
120,Female,<30,600-799,< 4years,5,5,5,5,3,4,4,3,4,5,5,5,4,4,4,4,4,5,4,5,4
121,Female,<30,800-999,< 4years,3,3,4,4,3,3,3,4,2,2,3,3,2,3,4,3,3,3,3,2,2
122,Male,36-40,600-799,< 4years,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3